GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
,Lycium,acutifolium,,,A. M. Joubert 225 BLFU,12/13/1988,Africa,South Africa,KwaZulu Natal,"Umfolozi Game Reserve, 1 km from Thomboti turnoff",,,,herb,,,
,Lycium,acutifolium,,,A. M. Venter 423 BLFU,12/7/1992,Africa,South Africa,KwaZulu Natal,"Umfolozi Game Reserve, 1.4 km from Thomboti turnoff, 10 m from side of road",,,,herb,,,
,Lycium,acutifolium,,,A. M. Venter 424 BLFU,12/7/1992,Africa,South Africa,KwaZulu Natal,"Umfolozi Game Reserve, 1.4 km from Thomboti turnoff, 10 m from side of road",,,,herb,,,
3490B,Lycium,acutifolium,,,A. M. Venter 424 BLFU,12/7/1992,Africa,South Africa,KwaZulu Natal,,,,, ,,,
2545,Lycium,acutifolium,,,A. M. Joubert 225 BLFU,7/25/2005,Africa,South Africa,KwaZulu Natal,,,,, ,,,
2539,Lycium,acutifolium,,,A. M. Venter 423 BLFU,7/25/2005,Africa,South Africa,KwaZulu Natal,,,,, ,,,
,Lycium,acutifolium,05-226,,Miller et al. 05-226,8/17/2005,Africa,South Africa,KwaZulu Natal,"1 km. from Toboti turn-off, Hluhluwe-Umfolozi Park",-28.229,31.792,,silica,,,
2552,Lycium,acutifolium,05-227,,Miller et al. 05-227,8/17/2005,Africa,South Africa,KwaZulu Natal,"1.4 km. from Toboti turn-off, Hluhluwe-Umfolozi Park",-28.229,31.792,,silica,,,
"565, 2169, 2170",Lycium,acutifolium,05-228,,Miller et al. 05-228,8/17/2005,Africa,South Africa,KwaZulu Natal,"2.3 km. from Toboti turn-off, Hluhluwe-Umfolozi Park",-28.224,31.783,with old flowers and fruit,silica,,,
"493, 2171, 2172",Lycium,acutifolium,05-229,,Miller et al. 05-229,8/17/2005,Africa,South Africa,KwaZulu Natal,"2.3 km. from Toboti turn-off, Hluhluwe-Umfolozi Park",-28.2243,31.7828,"Keyed by RAL. With flowers and fruit. Low plant, heavily grazed. 2 silicas
(combined with genomic 2171; in tube 2171)", ,,,
3471,Lycium,afrum,22-224,,22-224,,Africa,South Africa,Western Cape,,-34.4095,19.5253,, ,,,
2540,Lycium,afrum,Miller et al. 05-27 ,,A. M. Venter 511 BLFU,7/25/2005,Africa,South Africa,,,,,, ,,,
3409,Lycium,afrum,Miller et al. 05-197,,"Levin and Miller 22-125, NBG",8/27/2022,Africa,South Africa,Western Cape,"West of Gearings point, along Hermanus Biodiversity walk",-34.4218,19.2412,, ,,,
3471,Lycium,afrum,22-224,,"Levin and Miller 22-224, NBG",9/19/2022,Africa,South Africa,Western Cape,"NE of Stanford, at Phillipskop Mountain Reserve by swimming/natural pool",-34.4095,19.5253,, ,,,
,Lycium,afrum,,,A. M. Joubert 222 BLFU,11/8/1988,Africa,South Africa,Western Cape,,,,,herb,,,
,Lycium,afrum,,,A. M. Venter 511 BLFU,12/31/1995,Africa,South Africa,Western Cape,,,,,herb,,,
820,Lycium,afrum,Miller et al. 05-201,,Miller and Levin 06-55,9/7/2006,Africa,South Africa,Western Cape,"West Coast National Park, on east side of Seeberg hide road, a few plants growing on upper part of west-facing, dry slope",-33.119,18.058,"fairly low growing plants, growing with Lycium tetrandrum, L. amoenum, and L. ferocissimum",,,,
2481,Lycium,afrum,Miller et al. 05-33 ,,Miller and Levin 06-57,9/8/2006,Africa,,Western Cape,"West Coast National Park, on east side of Seeberg hide road, a few plants growing on upper part of west-facing, dry slope",-33.119,18.058,"fairly low growing plants, growing with Lycium tetrandrum, L. amoenum, and L. ferocissimum",voucher trashed,,,
486,Lycium,afrum,05-200 ,,Miller et al. 05-200 ,8/9/2005,Africa,South Africa,Western Cape,Intersection of R27 and M14 near Melbokstrand,-33.726,18.455,Roadside,silica,,,
3278,Lycium,afrum,Miller et al. 05-28,,use Levin and Miller 06-55,8/24/2022,Africa,South Africa,Western Cape,"West Coast National Park, along Seeberg Hide road.",-33.1235,18.0603,, ,,,
3407,Lycium,afrum,Miller et al. 05-177,,use Levin and Miller 06-55,8/24/2022,Africa,South Africa,Western Cape,"West Coast National Park, along Seeberg Hide path.",-33.1255,18.0604,, ,,,
3408,Lycium,afrum,Miller et al. 05-170 ,,use Levin and Miller 06-55,8/24/2022,Africa,South Africa,Western Cape,"West Coast National Park, along Seeberg Hide path.",-33.1261,18.0603,, ,,,
3410,Lycium,afrum,22-126,,"use Levin and Miller 22-125, NBG",8/27/2022,Africa,South Africa,Western Cape,"Hermanus, Biodiversity walk",-34.4213,19.24,, ,,,
3411,Lycium,afrum,22-127,,"use Levin and Miller 22-125, NBG",8/27/2022,Africa,South Africa,Western Cape,"Hermanus, Cliff path",-34.4154,19.2498,, ,,,
3412,Lycium,afrum,22-128,,"use Levin and Miller 22-125, NBG",8/27/2022,Africa,South Africa,Western Cape,"Hermanus, Cliff path",-34.4157,19.2494,, ,,,
496,Lycium,afrum cf.,05-201,,Miller et al. 05-201,8/9/2005,Africa,South Africa,Western Cape,Intersection of R27 and M14 near Melbokstrand,-33.726,18.455,Venter identified as afrum x fero,silica,,,
302,Lycium,ameghinoi,,,A. Forcone 790 CORD,1/29/2003,South America,Argentina,Chubut,Trelew,,,19-March-03 Bernardello email,silica,,,
1443,Lycium,ameghinoi,,,A. Forcone 793,1/29/2003,South America,Argentina,Chubut,from Trelew to Gaiman,,,19-March-03 Bernardello email,silica,,,
317,Lycium,americanum,,,G. Barboza 525 CORD,12/15/2003,South America,Argentina,Chaco,near Colonia Benitez,,,"trnV-ndhC(P):FJ189654, trnQ-rps16(T1):FJ189692, rps16-trnK(T2):FJ189706",silica,,,
,Lycium,americanum,05-027,,Miller et al. 05-27 ,1/5/2005,South America,Argentina,Formosa,Route 81 just east of Las Lomitas,-24.713,-60.575, thick thorn scrub vegetation,silica,,,
,Lycium,americanum,05-028,,Miller et al. 05-28,1/5/2005,South America,Argentina,Formosa,Route 81 just east of Las Lomitas,-24.713,-60.575, thick thorn scrub vegetation,silica,,,
475,Lycium,americanum,05-033,,Miller et al. 05-33 ,1/6/2005,South America,Argentina,Formosa,Route 81 just east of Las Lomitas,-24.733,-60.559,thick thorn scrub vegetation,silica,,,
802,Lycium,amoenum,06-31,,Miller and Levin 06-31,8/26/2006,Africa ,South Africa,Western Cape,"roadside N7, north of Clanwilliam, south of Vanrhynsdorp (between Klawer and Vanrhynsdorp) ",-31.814,18.624,,,,,
803,Lycium,amoenum,06-32,,Miller and Levin 06-32,8/26/2006,Africa,South Africa,Western Cape,"roadside picnic spot off N7, S. of Nuwerus, by koppies",-31.206,18.478,,,,,
807,Lycium,amoenum,06-37,,Miller and Levin 06-37,8/27/2006,Africa,South Africa,Northern Cape,"R355 towards Kleinsee, 21.4 km E of road to Soebatsfontein, just W of river crossing opposite pipeline",-29.641,17.551,succulent karoo,pickled material,,,
808,Lycium,amoenum,06-38,,Miller and Levin 06-38,8/27/2006,Africa,South Africa,Northern Cape,"R355 towards Kleinsee, 21.4 km E of road to Soebatsfontein, just W of river crossing opposite pipeline",-29.641,17.551,"succulent karoo, unusually small flowers",pickled material,,,
3381,Lycium,amoenum,22-087,,Levin and Miller 06-42,8/19/2022,Africa,South Africa,Northern Cape,South of Nuwerus @ picnic spot,-31.206,18.479,, ,,,
3374,Lycium,amoenum,22-079,,Levin and Miller 06-46,8/18/2022,Africa,South Africa,Northern Cape,Very near No Heep,-30.0466,17.9506,, ,,,
3375,Lycium,amoenum,22-080,,Levin and Miller 06-46,8/18/2022,Africa,South Africa,Northern Cape,Along gravel road between No Heep and the N7.,-30.0743,17.9335,, ,,,
3376,Lycium,amoenum,22-081,,Levin and Miller 06-46,8/18/2022,Africa,South Africa,Northern Cape,Along gravel road between No Heep and the N7.,-30.1003,17.9165,, ,,,
3397,Lycium,amoenum,22-108,,"Levin and Miller 22-108, NBG",8/22/2022,Africa,South Africa,Western Cape,24km south of Elands Bay,-32.512,18.3435,, ,,,
3371,Lycium,amoenum,22-076,,"Levin and Miller 22-76, NBG",8/18/2022,Africa,South Africa,Northern Cape,"Along R355, about 43km west of Springbok.",-29.6175,17.5299,, ,,,
3377,Lycium,amoenum,22-083,,"Levin and Miller 22-86, NBG",8/18/2022,Africa,South Africa,Northern Cape,"Outside Garies, along road to Groenrivier",-30.5841,17.9942,, ,,,
3380,Lycium,amoenum,22-086,,"Levin and Miller 22-86, NBG",8/18/2022,Africa,South Africa,Northern Cape,"Outside Garies, along road to Groenrivier",-30.5869,17.9938,, ,,,
3391,Lycium,amoenum,22-098,,"Levin and Miller 22-98, NBG",8/20/2022,Africa,South Africa,Northern Cape,Nieuwoudtville waterfall,-31.3194,19.1193,, ,,,
3392,Lycium,amoenum,22-099,,"Levin and Miller 22-99, NBG",8/21/2022,Africa,South Africa,Western Cape,"Along R27, west of VanRhyns pass & east of Vanrhynsdorp",,,coordinates originally saved were incorrect, ,,,
,Lycium,amoenum,,,A. M. Venter 255 BLFU,4/4/1989,Africa,South Africa,,,,,,herb,,,
804,Lycium,amoenum,Miller and Levin 06-35,,Miller and Levin 06-34,8/27/2006,Africa,South Africa,Northern Cape,"R355 towards Kleinsee, 21.4 km E of road to Soebatsfontein, just W of river crossing opposite pipeline",-29.641,17.551,succulent karoo,,,,
,Lycium,amoenum,Miller et al. 05-83 ,,Miller and Levin 06-46,9/2/2006,Africa,South Africa,Northern Cape,near Piet and Paula's Bloupoort farm; ca. 1 km from farm on road towards Kamieskroon,-30.026,17.956,,,,,
